"Continent","Android","iOS","Samsung","Unknown","Windows","KaiOS","Series 40"
India ,94.74,4.96,0,0,0,0,0
United States of America ,42.11,57.63,0,0,0,0,0
China ,77.39,22.21,0,0,0,0,0
Vietnam ,61.14,38.41,0,0,0,0,0
Indonesia ,90.44,9.47,0,0,0,0,0
Turkey ,75.89,23.68,0,0,0,0,0
Philippines ,92.65,7.25,0,0,0,0,0
Brazil ,88.73,11.14,0,0,0,0,0
United Kingdom ,51.23,48.36,0,0,0,0,0
Mexico ,88.38,11.55,0,0,0,0,0
France ,78.05,21.59,0,0,0,0,0
Spain ,75.65,24,0,0,0,0,0
South Africa ,83.28,16.43,0,0,0,0,0
Taiwan ,41.25,57.11,1.63,0,0,0,0
Iran ,90.15,9.7,0,0,0,0,0
Pakistan ,94.16,5.36,0,0,0,0,0
Germany ,63.66,35.42,0,0,0,0,0
Canada ,40.34,59.32,0,0,0,0,0
Nigeria ,87.82,9.56,0,2.39,0,0,0
South Korea ,76.02,23.61,0,0,0,0,0
Saudi Arabia ,73.25,26.68,0,0,0,0,0
Iraq ,82.01,17.88,0,0,0,0,0
Thailand ,70.33,29.18,0,0,0,0,0
Poland ,78,21.81,0,0,0,0,0
Singapore ,72.87,26.91,0,0,0,0,0
Nepal ,83.86,16.11,0,0,0,0,0
Egypt ,87.78,11.95,0,0,0,0,0
Italy ,69.6,30.03,0,0,0,0,0
Argentina ,87.32,12.51,0,0,0,0,0
Hong Kong ,52.29,45.99,1.66,0,0,0,0
Angola ,82.7,15.96,0,1.2,0,0,0
Malaysia ,66.56,32.82,0,0,0,0,0
Netherlands ,62.47,36.92,0,0,0,0,0
Hungary ,82.28,17.32,0,0,0,0,0
Australia ,44.3,54.98,0,0,0,0,0
Japan ,38.72,61.01,0,0,0,0,0
United Arab Emirates ,84.92,14.96,0,0,0,0,0
Bangladesh ,95.19,4.65,0,0,0,0,0
Romania ,72,27.79,0,0,0,0,0
Bulgaria ,79.71,19.88,0,0,0,0,0
Israel ,73.11,26.48,0,0,0,0,0
Colombia ,70.33,29.45,0,0,0,0,0
Ethiopia ,95.41,3.85,0,0,0,0,0
Sweden ,42.53,57.01,0,0,0,0,0
Russian Federation ,70.05,29.24,0,0,0,0,0
Ireland ,60.84,38.88,0,0,0,0,0
Bermuda ,0,99.74,0,0,0,0,0
Senegal ,74.38,25.48,0,0,0,0,0
Jordan ,77.31,22.63,0,0,0,0,0
Belgium ,61.73,37.71,0,0,0,0,0
Mozambique ,92.54,6.81,0,0,0,0,0
Greece ,76.51,22.6,0,0,0,0,0
Algeria ,90.66,9.22,0,0,0,0,0
Congo (Democratic Republic of the),86.37,12.43,0,1.16,0,0,0
Morocco ,81.64,17.51,0,0,0,0,0
Palestinian Territory ,91.24,8.69,0,0,0,0,0
Serbia ,77.74,21.61,0,0,0,0,0
Czech Republic ,71.84,27.67,0,0,0,0,0
Norway ,38.52,61.06,0,0,0,0,0
Cameroon ,80.37,18.77,0,0,0,0,0
Peru ,86.28,13.27,0,0,0,0,0
Bahamas ,8.2,91.76,0,0,0,0,0
Portugal ,66.58,32.96,0,0,0,0,0
Chile ,74.06,24.6,0,0,1.05,0,0
New Zealand ,61.57,37.81,0,0,0,0,0
Ghana ,79.9,18.89,0,0,0,0,0
Kenya ,90.56,4.65,0,4.4,0,0,0
Guatemala ,75.39,24.46,0,0,0,0,0
Sri Lanka ,85.32,14.49,0,0,0,0,0
